label,orb_avg_0,orb_avg_1,orb_avg_2,orb_avg_3,orb_avg_4,orb_avg_5,orb_avg_6,orb_avg_7,orb_avg_8,orb_avg_9,orb_avg_10,orb_avg_11,orb_avg_12,orb_avg_13,orb_avg_14,orb_avg_15,orb_avg_16,orb_avg_17,orb_avg_18,orb_avg_19,orb_avg_20,orb_avg_21,orb_avg_22,orb_avg_23,orb_avg_24,orb_avg_25,orb_avg_26,orb_avg_27,orb_avg_28,orb_avg_29,orb_avg_30,orb_avg_31
1F1N,131.618,116.912,99.13,105.306,100.696,124.208,99.822,90.1,129.088,169.494,119.692,69.438,151.084,127.856,76.918,75.358,126.518,138.636,126.632,65.054,89.354,139.81,188.186,54.814,194.16,187.032,87.416,87.176,110.642,109.558,112.746,90.612
1F1N,100.658,132.5,112.732,141.066,124.364,146.662,142.374,127.534,128.68,106.104,146.426,111.33,120.99,147.212,104.87,104.736,137.526,142.994,125.636,134.758,134.948,131.552,108.474,147.642,134.138,136.278,122.712,138.106,106.224,113.39,135.06,143.318
1F1N,106.134,129.204,133.62,116.474,135.996,143.058,135.09,131.31,131.29,145.522,138.196,121.312,124.322,145.416,121.59,122.364,136.32,145.29,147.058,119.896,133.574,141.732,143.61,133.524,133.336,156.372,102.914,130.576,131.452,132.35,127.054,148.672
1F1N,130.594,119.556,102.556,111.2,111.42,126.04,98.634,95.572,128.592,174.72,117.548,63.796,158.542,135.122,77.594,79.89,123.996,141.566,127.758,63.232,86.936,127.688,193.954,54.348,193.992,181.838,97.85,89.218,114.654,108.128,114.808,93.284
1F1N,123.934,117.014,107.898,101.702,106.602,121.374,100.496,94.744,128.166,168.092,123.982,70.84,165.564,120.37,76.192,81.748,122.64,138.59,129.404,65.648,89.88,136.504,195.088,53.602,186.93,182.718,95.64,92.344,112.486,117.468,110.416,95.522
1F1N,135.79,136.974,119.988,106.344,113.604,94.398,98.126,110.212,120.738,193.83,129.62,95.986,172.508,119.09,94.254,86.106,111.958,152.234,142.554,81.824,106.674,109.958,216.518,53.01,186.246,162.23,121.082,104.52,122.484,128.456,103.556,86.724
1F1N,104.438,130.33,135.41,115.578,137.362,139.408,139.586,132.136,124.256,140.306,131.806,133.07,121.982,144.256,124.752,121.78,135.114,141.232,135.38,125.542,136.216,145.056,137.752,136.24,129.92,147.34,109.378,134.364,136.018,133.458,131.914,149.644
1F1N,131.68,121.846,124.686,99.332,115.65,89.394,100.372,105.222,110.176,179.798,127.882,103.754,179.128,105.322,92.538,75.26,110.702,149.006,140.482,89.256,107.226,124.804,209.376,48.46,189.73,169.344,121.016,104.176,127.196,138.872,99.33,88.968
1F1N,98.472,76.786,97.372,104.278,77.254,85.18,96.772,69.274,89.506,195.486,108.138,65.784,152.5,77.182,88.95,77.33,119.594,141.134,133.704,44.682,60.994,98.832,195.85,48.85,178.196,181.26,86.018,81.272,99.034,98.104,76.692,79.396
1F1N,129.116,121.184,101.816,104.338,105.62,114.81,99.06,90.242,119.592,169.928,122.392,72.94,161.546,119.228,78.878,79.256,119.832,141.434,131.17,67.052,90.914,135.008,195.51,53.114,188.93,181.81,93.754,88.866,109.566,113.778,108.536,96.35
