label,sift_avg_0,sift_avg_1,sift_avg_2,sift_avg_3,sift_avg_4,sift_avg_5,sift_avg_6,sift_avg_7,sift_avg_8,sift_avg_9,sift_avg_10,sift_avg_11,sift_avg_12,sift_avg_13,sift_avg_14,sift_avg_15,sift_avg_16,sift_avg_17,sift_avg_18,sift_avg_19,sift_avg_20,sift_avg_21,sift_avg_22,sift_avg_23,sift_avg_24,sift_avg_25,sift_avg_26,sift_avg_27,sift_avg_28,sift_avg_29,sift_avg_30,sift_avg_31,sift_avg_32,sift_avg_33,sift_avg_34,sift_avg_35,sift_avg_36,sift_avg_37,sift_avg_38,sift_avg_39,sift_avg_40,sift_avg_41,sift_avg_42,sift_avg_43,sift_avg_44,sift_avg_45,sift_avg_46,sift_avg_47,sift_avg_48,sift_avg_49,sift_avg_50,sift_avg_51,sift_avg_52,sift_avg_53,sift_avg_54,sift_avg_55,sift_avg_56,sift_avg_57,sift_avg_58,sift_avg_59,sift_avg_60,sift_avg_61,sift_avg_62,sift_avg_63,sift_avg_64,sift_avg_65,sift_avg_66,sift_avg_67,sift_avg_68,sift_avg_69,sift_avg_70,sift_avg_71,sift_avg_72,sift_avg_73,sift_avg_74,sift_avg_75,sift_avg_76,sift_avg_77,sift_avg_78,sift_avg_79,sift_avg_80,sift_avg_81,sift_avg_82,sift_avg_83,sift_avg_84,sift_avg_85,sift_avg_86,sift_avg_87,sift_avg_88,sift_avg_89,sift_avg_90,sift_avg_91,sift_avg_92,sift_avg_93,sift_avg_94,sift_avg_95,sift_avg_96,sift_avg_97,sift_avg_98,sift_avg_99,sift_avg_100,sift_avg_101,sift_avg_102,sift_avg_103,sift_avg_104,sift_avg_105,sift_avg_106,sift_avg_107,sift_avg_108,sift_avg_109,sift_avg_110,sift_avg_111,sift_avg_112,sift_avg_113,sift_avg_114,sift_avg_115,sift_avg_116,sift_avg_117,sift_avg_118,sift_avg_119,sift_avg_120,sift_avg_121,sift_avg_122,sift_avg_123,sift_avg_124,sift_avg_125,sift_avg_126,sift_avg_127
1F1N,23.290728,21.351896,20.470669,22.323792,26.979586,17.835718,14.391519,16.370064,46.590946,28.407995,22.39018,23.978249,28.269178,20.086285,19.558048,28.20242,49.5994,25.229855,18.664394,19.084259,23.69874,23.172771,26.985363,37.279915,24.2697,16.587286,14.89059,17.099546,23.9374,24.45462,25.36932,24.555986,32.571945,23.021938,23.248987,29.07553,36.14749,23.163223,15.689973,17.429283,84.52004,32.552868,24.215328,31.57055,37.82747,24.515158,22.270721,42.69848,83.092636,32.932014,17.510866,22.53193,38.450684,38.17439,33.092896,45.74425,32.131866,18.230227,16.828585,24.360516,38.64229,35.562637,28.87898,26.92986,32.530575,17.350132,15.667254,23.172178,36.259056,29.27934,22.992125,23.00052,84.49777,42.698627,22.232641,24.343351,37.84872,31.704945,24.095535,32.75965,83.03678,45.381393,33.00795,38.6155,38.601498,22.505016,17.231787,32.91749,32.034515,26.8169,29.088829,36.04659,38.77228,24.01031,16.324999,17.937252,23.571554,16.054092,14.061281,17.642084,27.055986,22.648214,20.488688,21.614464,46.820503,27.599083,18.968998,19.904966,28.315712,23.989283,22.56559,29.11595,49.495766,36.270573,26.441023,23.39412,24.025152,19.368763,18.510105,25.532303,24.08751,24.17749,25.043169,24.363953,23.907736,17.315674,14.860292,16.552198
1F1N,24.94068,23.680037,22.21377,25.10782,29.918207,19.87659,15.2952,17.830402,43.666897,31.423456,24.371353,25.989504,30.173338,21.63652,18.964945,27.165005,47.857887,27.499247,19.823254,20.81363,24.699472,23.465982,25.903793,38.102894,26.105764,18.248522,15.62005,18.698387,25.440552,26.39785,26.778994,27.554571,32.18461,25.330421,25.175688,31.421135,38.46546,25.871979,17.944098,19.690641,76.57164,33.780865,26.022797,33.926666,39.421284,25.71801,20.408386,37.249794,84.307755,34.634796,18.160658,22.27965,34.105194,33.74167,29.753584,46.690063,34.356236,19.789345,17.811268,25.899075,38.856644,37.32298,30.650434,30.383759,32.217323,19.539804,17.902481,25.907906,38.489296,31.349997,25.074947,25.534096,76.4931,37.21573,20.332733,25.531275,39.35033,34.1011,26.197613,33.997463,84.25796,46.758263,29.757805,33.455673,34.179497,22.59281,18.239063,34.65485,34.209785,30.170675,30.881046,37.413574,38.963898,26.01132,17.645626,19.750843,25.081509,17.814285,15.326945,19.974003,29.701784,24.971153,22.219292,24.010927,43.617573,27.230661,19.039648,21.477615,29.998991,26.146997,24.526115,31.525635,47.641464,38.184883,26.016842,23.247091,24.858515,21.108015,19.944283,27.31362,25.809752,27.374947,26.909649,26.574303,25.698896,18.823822,15.596647,18.02209
1F1N,23.883785,23.552206,22.334497,24.010685,29.28199,19.61419,15.487643,17.596373,41.46527,30.560413,24.805046,26.634718,32.102097,22.847149,20.43801,27.189339,45.15148,27.288548,20.95893,22.158907,26.189207,24.920818,26.885597,35.99717,24.756857,18.078209,16.454573,19.47917,24.78235,25.44134,25.706043,25.856552,31.956305,25.109539,25.165745,30.902914,38.186157,25.077604,17.445791,18.704319,78.07231,33.655407,26.853132,36.12488,43.38354,26.99185,23.018908,40.967327,79.92322,35.26137,19.7028,25.089453,40.82099,39.578114,32.806843,44.3958,32.91809,19.559044,18.08988,25.996626,38.482353,36.44523,29.760408,28.539148,31.977837,18.794096,17.376144,25.127518,38.325684,30.903576,25.01929,25.04869,78.18423,40.865364,22.937044,27.08487,43.274166,35.917004,26.900276,33.8871,79.94261,44.30489,32.732643,39.50863,40.804558,25.081244,19.734604,35.401905,33.078575,28.482176,29.708725,36.279648,38.44545,25.955067,18.086609,19.783102,24.028988,17.50509,15.325316,19.671103,29.24836,23.984968,22.25365,23.879173,41.6477,27.190268,20.27297,22.872969,32.229572,26.705307,24.898184,30.562904,45.185406,36.0033,26.919374,25.033335,26.395346,22.165096,20.84018,27.177992,24.669481,25.960152,25.913406,25.548227,24.661303,19.111662,16.216234,18.097986
1F1N,23.248953,22.101309,21.520296,23.46083,27.734545,18.279936,14.907167,16.778584,44.37373,29.708723,23.682001,24.623713,28.33591,20.200392,19.513725,27.678541,47.502197,26.232466,19.510265,19.469687,23.503576,23.011908,27.232378,37.34901,24.232277,16.937452,15.177828,17.425371,24.063158,25.194592,26.702719,25.582743,31.703896,23.673553,24.04686,30.092644,36.975166,24.064291,16.73898,18.132393,79.9734,33.544373,25.72527,32.795044,38.32473,24.587278,21.466997,40.22255,83.55884,34.567417,18.432583,22.162228,35.64103,35.532307,32.230778,46.901455,32.620777,18.60551,17.191277,24.703533,38.379368,36.498344,30.508781,28.351788,31.688135,17.922129,16.661398,23.954172,36.987015,30.299303,24.082466,23.869541,79.82793,40.17854,21.493559,24.509567,38.397877,33.04084,25.825226,33.7114,83.479065,46.81666,32.25432,35.931507,35.589443,22.139736,18.258797,34.46884,32.573322,28.2402,30.670383,37.035286,38.42364,24.46502,16.787308,18.445318,23.462708,16.567593,14.660846,18.290346,27.748327,23.719687,21.55042,22.365236,44.123,27.265121,19.028423,20.224049,28.352457,24.86986,23.962126,29.978453,47.334007,37.055946,26.756804,23.147747,23.649084,19.788673,19.42188,26.165949,24.176651,25.250683,26.358185,25.377901,23.942556,17.400043,15.265164,17.054085
1F1N,23.741611,21.125818,20.611282,22.259699,26.527645,17.606468,15.077958,17.021757,45.946697,28.334011,22.678118,23.794914,28.876286,20.34315,20.437279,28.230556,48.078613,25.409096,19.20789,19.437489,24.684427,23.671972,27.557814,35.56438,24.136404,16.66274,15.282973,17.259838,23.965275,24.301458,25.604177,24.042507,33.26019,23.049238,23.579313,29.278486,36.081135,22.84081,15.936624,17.855837,83.63416,32.70004,24.717073,31.98537,38.82471,24.432604,22.878832,43.280754,80.951744,32.85682,17.961863,23.062279,40.07686,39.101162,33.898018,44.742218,32.096912,18.374323,17.134909,24.218124,38.459103,35.17945,29.10537,26.638905,33.230392,17.3417,15.6486025,22.869017,36.113995,29.451323,23.542345,23.407623,83.56808,43.155636,22.83665,24.419704,38.853245,32.034702,24.734272,32.907227,80.73762,44.696064,33.999275,39.687862,40.039238,22.831814,17.82784,32.76949,32.1207,26.543139,29.219713,35.89484,38.43258,23.70041,16.773603,18.204058,23.794237,16.453543,14.537273,17.555992,26.551062,22.33338,20.628693,21.510118,45.54384,27.695925,19.625023,20.369625,28.936905,23.988245,22.894863,28.574524,47.681484,35.220158,27.008343,23.890728,24.735676,19.632174,19.080622,25.204687,24.031103,23.724691,25.307652,24.44936,23.716116,17.10689,15.330926,16.660824
1F1N,24.297318,23.225128,22.294064,24.446081,28.095793,19.517427,15.754796,17.923456,41.803493,30.172773,25.078615,26.42204,29.672668,21.904564,20.212534,27.46572,45.43572,27.375042,20.622026,21.483786,25.796112,24.366074,26.948826,37.084167,25.055044,18.241982,15.686364,18.65499,26.132397,26.557934,26.716492,26.469994,31.918745,24.966473,25.152212,30.883533,36.895367,25.337515,17.973497,19.512993,76.660545,33.29693,27.424274,35.252636,40.174652,26.54835,22.100746,39.145687,82.47226,35.319157,19.332594,23.424728,37.589375,36.935097,31.594246,46.274216,33.562225,19.696644,17.549694,25.794525,40.470203,37.824963,30.872234,29.729265,31.756042,19.467209,17.865871,25.153734,36.81845,30.9152,25.17768,24.886675,76.55028,39.23952,22.058493,26.255257,40.158073,35.395473,27.306173,33.06955,82.60054,46.55502,31.64296,36.759377,37.512165,23.476938,19.32934,35.294224,33.57092,29.689198,30.848694,38.035957,40.612526,25.82025,17.704367,19.822922,24.074196,17.544384,15.348605,19.240007,28.100002,24.619566,22.33303,23.266056,41.54851,27.375608,19.928314,21.776377,30.03296,26.54809,25.088182,29.990335,45.230732,37.47692,27.28137,24.400265,25.907042,21.511162,20.56836,26.972137,25.209345,26.85674,26.884003,26.668701,26.05085,18.620539,15.699979,18.249979
1F1N,23.795332,24.238718,23.442759,25.731905,30.915987,19.823393,15.238096,17.169245,43.45423,33.14523,25.689142,26.401384,30.171833,21.800327,19.071756,26.19755,46.384632,27.8825,20.81745,21.47476,24.490482,23.284306,25.937986,36.813717,24.847277,17.93503,16.137672,19.12867,24.645452,25.602985,26.43127,26.751814,30.825254,25.54265,25.70125,32.560368,40.731686,26.378933,17.966677,18.853197,76.07525,35.981327,27.87012,35.82179,41.144547,25.490986,19.942184,35.937534,84.41687,36.596237,19.645342,23.083023,33.698036,32.556545,29.229012,45.097187,33.188354,19.337597,17.821426,25.668606,37.227657,35.95198,30.437841,29.418386,30.875721,18.947287,17.805525,26.22853,40.867317,32.71973,25.62247,25.36216,76.16691,35.95005,19.933596,25.50129,41.093246,35.739586,27.937025,35.975582,84.393936,45.11996,29.20841,32.599815,33.62483,23.057903,19.701708,36.662617,33.256054,29.386,30.378187,35.88037,37.168083,25.596088,17.879528,19.50722,23.903769,17.160833,15.17028,19.861292,30.830223,25.68461,23.35901,24.38564,43.376266,26.241962,18.958885,21.71202,30.271606,26.504536,25.839455,33.137806,46.210236,36.871582,25.91326,23.342815,24.551092,21.45724,20.818047,27.960762,24.852991,26.805857,26.53443,25.694368,24.535612,18.894491,16.028025,18.038181
1F1N,24.016392,22.308323,21.296602,23.59303,27.622358,18.737064,15.143845,17.295073,45.44062,29.65077,24.039534,25.488562,29.564507,21.13774,19.377878,26.897978,50.098995,26.968401,19.92639,20.62903,24.989115,23.399145,25.913517,36.80941,25.56427,17.550137,15.156702,18.05733,25.60969,25.470657,25.944042,25.888655,31.435856,23.980438,24.079983,29.62171,35.962723,24.35461,17.20534,18.707579,79.5263,32.469254,26.35816,34.010647,39.672462,25.550245,21.074919,38.315533,86.26231,34.930286,18.60543,22.500742,36.134598,35.129505,30.349152,45.562584,33.934372,19.112024,16.991701,24.941645,39.370937,36.19483,29.771833,28.68797,31.264277,18.681438,17.145706,24.186203,35.922684,29.662586,24.19409,23.837399,79.46927,38.294502,20.944895,25.330221,39.729774,34.074825,26.285873,32.416405,86.26361,45.589134,30.20567,34.99454,36.405155,22.517117,18.63176,35.04075,33.90121,28.76423,29.758015,36.440556,39.66418,24.8548,17.091972,19.068388,23.879868,16.834211,14.8743925,18.65708,27.364958,23.435192,21.527876,22.403973,45.387646,26.834654,19.107512,21.03444,29.68644,25.54971,24.11518,29.469727,49.776173,37.11439,26.177668,23.392914,25.148687,20.575092,19.768852,26.583076,25.473717,26.023333,26.076687,25.50235,25.552708,17.99481,15.234887,17.702452
1F1N,23.318565,22.257673,21.628538,23.648886,27.92985,18.329872,14.870532,16.74002,44.531036,30.031519,23.871334,24.67819,28.266033,20.078918,19.426817,27.6538,47.350384,26.455906,19.641296,19.542372,23.424156,22.955261,27.126902,37.27164,24.20183,17.065617,15.29663,17.45338,23.89312,25.362083,26.746807,25.60249,31.679182,23.744717,24.083628,30.155773,37.113476,24.179379,16.820486,18.19279,79.569,33.70675,25.92457,32.873478,38.235603,24.43853,21.181509,39.69133,83.81631,34.865578,18.504948,21.989359,35.023617,34.950455,31.876465,46.92552,32.59189,18.693285,17.27696,24.712818,38.020332,36.665443,30.713537,28.562637,31.651505,17.970802,16.658089,24.118853,37.139824,30.447449,24.226046,23.872242,79.512184,39.716496,21.191187,24.38437,38.29618,33.08633,25.97968,33.87846,83.67427,46.908417,31.898794,35.263863,34.918503,22.002783,18.335709,34.78932,32.580284,28.356802,30.880726,37.130104,38.12256,24.480705,16.888477,18.58054,23.471272,16.569355,14.700602,18.382322,27.993689,23.899431,21.709003,22.492216,44.254536,27.210707,18.97501,20.175089,28.291445,24.853308,24.05648,30.295286,47.142715,36.992386,26.699217,23.046558,23.475166,19.824083,19.550108,26.518291,24.178333,25.28395,26.394606,25.453272,23.824978,17.474909,15.322447,17.206282
1F1N,23.466497,21.317024,20.49054,22.252375,26.706888,17.723246,14.550871,16.574148,46.434994,28.863016,22.63919,23.695856,28.087309,20.034325,19.67791,27.92002,49.156597,25.473171,18.719152,19.110119,24.01406,23.450644,27.15652,36.789505,24.196493,16.60393,14.887021,17.065174,24.024529,24.462103,25.66428,24.57026,32.54859,23.057583,23.288513,29.056704,35.974274,23.120756,15.801937,17.64379,83.887695,32.72622,24.628738,31.744596,37.873505,24.3595,22.163084,42.461674,83.19513,33.110455,17.627094,22.574335,38.550964,37.938305,33.015724,45.769146,32.11969,18.061434,16.761385,24.257515,38.808086,35.65839,29.14261,26.905006,32.635674,17.4375,15.6265335,23.038084,36.243885,29.408634,23.237942,23.143003,83.85791,42.652782,22.118101,24.277838,37.994316,31.75174,24.593124,33.050667,83.00353,45.584114,33.00183,38.361538,38.490036,22.47379,17.503271,33.208702,32.08224,26.743027,29.204775,36.221565,39.01651,23.974012,16.28539,17.866941,23.592058,16.20597,14.208962,17.619148,26.985062,22.618736,20.569212,21.677105,46.20599,28.019108,19.068987,19.922861,28.335121,23.943407,22.700026,28.923777,49.032772,36.822334,26.773146,23.441483,24.011497,19.369577,18.617653,25.237268,24.017836,24.279127,25.367989,24.573698,23.9788,17.27193,14.848994,16.395416
